Plot ;Individual ;Specie ;Height;Diameter;Volume (m3)
1;1;Cariocar braziliense;7.5;22.6;0.270184396
1;2;Pouteria ramiflora;7;25.78;0.366601479
1;3;Cariocar braziliense;9;46.15;1.67075901
1;4;Terminalia brasiliensis;6;9.55;0.029961632
1;5;Qualya parvifora;2;5.73;0.006085243
1;6;Magonia pubescens;4;5.73;0.007491927
1;7;Qualya parvifora;2;6.05;0.006961402
1;8;Stenocalyx dysentericus;3;6.05;0.007861908
1;9;Solanum lycocarpum;5;7;0.013148589
1;10;Stenocalyx dysentericus;5.2;6.68;0.011849162
1;11;Cariocar braziliense;5;16.87;0.116006746
1;12;Stenocalyx dysentericus;4;10.82;0.036137178
1;13;Stenocalyx dysentericus;3.4;5.41;0.006189291
1;14;Stenocalyx dysentericus;2.3;6.05;0.007259512
1;15;Stenocalyx dysentericus;5;15.28;0.090795876
1;16;Andira cujabensis;3;5.09;0.00512611
1;17;Qualya parvifora;2.5;7;0.01067981
1;18;Qualya parvifora;2.5;6.37;0.008456272
1;19;Stenocalyx dysentericus;4;11.14;0.038840635
1;20;Stenocalyx dysentericus;2;7;0.009988226
1;21;Qualea grandiflora;2.5;6.37;0.008456272
1;22;Stenocalyx dysentericus;3;5.41;0.005961183
1;23;Sclerolobium paniculatum;6;16.52;0.116332677
1;24;Astronium balansae;6;13.05;0.064898234
1;25;Sclerolobium paniculatum;5;7;0.013148589
1;26;Erioteca pubescens;4;5.41;0.006498555
1;27;Qualya parvifora;3;5.41;0.005961183
1;28;Sclerolobium paniculatum;6.5;10.19;0.036035113
1;29;Stenocalyx dysentericus;2.5;5.73;0.006506585
1;30;Qualya parvifora;3;6.05;0.007861908
1;31;Qualya parvifora;3.4;6.68;0.010431008
1;32;Cariocar braziliense;9;25.78;0.39531196
1;33;Qualya parvifora;2;5.73;0.006085243
1;34;Stenocalyx dysentericus;2;6.05;0.006961402
1;35;Curatella americana;3;7.15;0.011888091
1;36;Cariocar braziliense;7;26.1;0.377968692
1;37;Cariocar braziliense;7;15.6;0.105727622
1;38;Vatairea macrocarpa;3;8.59;0.018722382
1;39;Qualya parvifora;3;7.96;0.015505229
1;40;Qualya parvifora;2;5.41;0.005278386
1;41;Cariocar braziliense;6;18.14;0.146644589
1;42;Qualya parvifora;3.5;7;0.011814222
1;43;Qualya parvifora;3;7;0.011280273
1;44;Curatella americana;3;6.05;0.007861908
1;45;Qualya parvifora;3.5;6.37;0.0093545
1;46;Pouteria ramiflora;4;9.55;0.026529815
1;47;Pouteria ramiflora;3;6.68;0.010046569
1;48;Stenocalyx dysentericus;3;5.73;0.006872412
1;49;Cariocar braziliense;3.5;6.68;0.010522121
1;50;Stenocalyx dysentericus;4;7;0.012297137
1;51;Cariocar braziliense;8.5;24.51;0.342914138
1;52;Bowdichia virgilioides;6;12.41;0.057302771
1;53;Astronium balansae;2;5.41;0.005278386
1;54;Cariocar braziliense;2.5;6.05;0.007443409
2;55;Cariocar braziliense;12;45.84;1.791235799
2;56;Cariocar braziliense;13;43.93;1.651316469
2;57;Sclerolobium paniculatum;11;24.51;0.370492979
2;58;Astronium balansae;6.5;20.69;0.208013785
2;59;Cariocar braziliense;4.5;20.05;0.172345608
2;60;Sclerolobium paniculatum;9;19.42;0.196062948
2;61;Astronium balansae;7;18.46;0.160379905
2;62;Plathymenia reticulata;6.5;13.37;0.070583725
2;63;Qualya parvifora;3;11.46;0.038216124
2;64;Machaerium opacum;2;10.5;0.027249958
2;65;Maprounea guianensis;4;10.19;0.031150515
2;66;Qualya parvifora;3;9.87;0.026404664
2;67;Dimorphandra molles;4.5;9.55;0.027484074
2;68;Stenocalyx dysentericus;4;9.55;0.026529815
2;69;Qualya parvifora;2;9.23;0.019805241
2;70;Qualya parvifora;2.5;8.59;0.017725765
2;71;Machaerium opacum;4;8.28;0.018635146
2;72;Annona cacans;3.5;8.28;0.017903335
2;73;Vochysia elliptica;3.5;8.28;0.017903335
2;74;Qualya parvifora;3.5;8.28;0.017903335
2;75;Qualya parvifora;3;8.28;0.017094186
2;76;Qualya parvifora;3;8.28;0.017094186
2;77;Stenocalyx dysentericus;3;8.28;0.017094186
2;78;Stenocalyx dysentericus;2.5;8.28;0.01618424
2;79;Qualya parvifora;2;8.28;0.015136211
2;80;Qualya parvifora;4;7.96;0.016902952
2;81;Cariocar braziliense;3.5;7.96;0.016239165
2;82;Qualya parvifora;3;7.96;0.015505229
2;83;Stenocalyx dysentericus;3.5;7.32;0.01319648
2;84;Stenocalyx dysentericus;3;7.32;0.012600059
2;85;Stenocalyx dysentericus;3;7.32;0.012600059
2;86;Qualya parvifora;3;7.32;0.012600059
2;87;Byrsonima crassifólia;3;7.32;0.012600059
2;88;Machaerium opacum;2;7.32;0.011156844
2;89;Stenocalyx dysentericus;2;7.32;0.011156844
2;90;Stenocalyx dysentericus;3;7;0.011280273
2;91;Stenocalyx dysentericus;3;7;0.011280273
2;92;Annona cacans;3;7;0.011280273
2;93;Stenocalyx dysentericus;2.5;7;0.01067981
2;94;Qualya parvifora;2;7;0.009988226
2;95;Stenocalyx dysentericus;4;6.68;0.01095222
2;96;Qualya parvifora;3.5;6.68;0.010522121
2;97;Machaerium opacum;3.5;6.68;0.010522121
2;98;Qualya parvifora;3;6.68;0.010046569
2;99;Qualya parvifora;2.5;6.68;0.009511777
2;100;Lafoensia pacari;2.5;6.68;0.009511777
2;101;Qualya parvifora;2;6.68;0.008895831
2;102;Qualya parvifora;4;6.37;0.009736872
2;103;Stenocalyx dysentericus;3.5;6.37;0.0093545
2;104;Stenocalyx dysentericus;3;6.37;0.008931719
2;105;Qualya parvifora;3;6.37;0.008931719
2;106;Stenocalyx dysentericus;3;6.37;0.008931719
2;107;Stenocalyx dysentericus;2.5;6.37;0.008456272
2;108;Qualya parvifora;2;6.37;0.007908677
2;109;Qualya parvifora;2;6.37;0.007908677
2;110;Spondias tuberosa;2;6.37;0.007908677
2;111;Vernonia polysphaera;2;6.37;0.007908677
2;112;Qualya parvifora;2;6.37;0.007908677
2;113;Erioteca pubescens;3;6.05;0.007861908
2;114;Andira cujabensis;2.5;6.05;0.007443409
2;115;Qualya parvifora;2.5;6.05;0.007443409
2;116;Stenocalyx dysentericus;2;6.05;0.006961402
2;117;Qualya parvifora;2;6.05;0.006961402
2;118;Stenocalyx dysentericus;2;6.05;0.006961402
2;119;Erioteca pubescens;3;5.73;0.006872412
2;120;Stenocalyx dysentericus;2;5.73;0.006085243
3;121;Cariocar braziliense;9;42.65;1.37444833
3;122;Cariocar braziliense;9;30.56;0.602269582
3;123;Cariocar braziliense;9;26.74;0.432756769
3;124;Pterodon emarginatus;7.5;19.1;0.17814681
3;125;Dimorphandra molles;7;18.46;0.160379905
3;126;Bowdichia virgilioides;6;14.32;0.081670958
3;127;Simarouba versicolor;5;14.01;0.073246042
3;128;Cariocar braziliense;4.5;13.37;0.06321073
3;129;Qualya parvifora;4;10.23;0.031454068
3;130;Andira cujabensis;6;9.55;0.029961632
3;131;Stenocalyx dysentericus;4;9.55;0.026529815
3;132;Cariocar braziliense;5;9.55;0.028366735
3;133;Erioteca pubescens;4.5;8.92;0.023212242
3;134;Protium spruceanum;4;9.23;0.024383483
3;135;Dimorphandra molles;4;9.23;0.024383483
3;136;Bowdichia virgilioides;5;8.62;0.022012454
3;137;Simarouba versicolor;3.5;8.59;0.019608601
3;138;Qualya parvifora;3;8.59;0.018722382
3;139;Pouteria ramiflora;3;8.28;0.017094186
3;140;Qualya parvifora;3;8.28;0.017094186
3;141;Qualya parvifora;3;8.28;0.017094186
3;142;Qualya parvifora;3;8.28;0.017094186
3;143;Annona cacans;4;8.28;0.018635146
3;144;Byrsonima crassifólia;4;7.96;0.016902952
3;145;Qualya parvifora;3;7.96;0.015505229
3;146;Qualya parvifora;3;7.96;0.015505229
3;147;Qualya parvifora;3;7.32;0.012600059
3;148;Qualya parvifora;2.5;7.32;0.011929342
3;149;Stenocalyx dysentericus;2.5;7.32;0.011929342
3;150;Stenocalyx dysentericus;3;7;0.011280273
3;151;Pouteria ramiflora;3;7;0.011280273
3;152;Hymenaea stilbocarpa;4;6.57;0.010511207
3;153;Sclerolobium paniculatum;5;6.55;0.011154504
3;154;Byrsonima crassifólia;3;7;0.011280273
3;155;Qualya parvifora;2;7;0.009988226
3;156;Qualya parvifora;2.5;7;0.01067981
3;157;Stenocalyx dysentericus;3;6.68;0.010046569
3;158;Qualya parvifora;2;6.68;0.008895831
3;159;Stenocalyx dysentericus;3;6.68;0.010046569
3;160;Qualya parvifora;2;6.68;0.008895831
3;161;Hymenaea stilbocarpa;3;6.68;0.010046569
3;162;Andira cujabensis;2;6.68;0.008895831
3;163;Annona cacans;3;6.68;0.010046569
3;164;Qualya parvifora;2.5;6.68;0.009511777
3;165;Pouteria ramiflora;2.5;6.05;0.007443409
3;166;Qualya parvifora;2;6.05;0.006961402
3;167;Stenocalyx dysentericus;2;6.68;0.008895831
3;168;Pouteria ramiflora;2;6.68;0.008895831
3;169;Qualya parvifora;2;6.68;0.008895831
3;170;Qualya parvifora;3;6.05;0.007861908
3;171;Stenocalyx dysentericus;2;6.05;0.006961402
3;172;Stenocalyx dysentericus;3;6.05;0.007861908
3;173;Qualya parvifora;2;6.05;0.006961402
3;174;Byrsonima crassifólia;3.5;5.1;0.0053949
3;175;Simarouba versicolor;3;5.41;0.005961183
3;176;Andira cujabensis;2.5;5.41;0.005643861
3;177;Astronium balansae;2.5;5.41;0.005643861
3;178;Pouteria ramiflora;2.5;5.41;0.005643861
3;179;Annona cacans;4;5.41;0.006498555
4;180;Cariocar braziliense;6;11.95;0.052188068
4;181;Cariocar braziliense;11;30.24;0.623192103
4;182;Cariocar braziliense;8;29.92;0.551685725
4;183;Cariocar braziliense;7;23.24;0.283589541
4;184;Cariocar braziliense;7.5;22.92;0.279753052
4;185;Cariocar braziliense;10;21.96;0.274323253
4;186;Cariocar braziliense;6;20.37;0.195391793
4;187;Cariocar braziliense;6;19.74;0.180773063
4;188;Astronium balansae;9;19.1;0.188162973
4;189;Cariocar braziliense;8;19.1;0.181629875
4;190;Cariocar braziliense;5;19.1;0.157741802
4;191;Pouteria ramiflora;4;13.69;0.064694928
4;192;Qualya parvifora;2.5;13.37;0.052991162
4;193;Maprounea guianensis;6;13.37;0.068908878
4;194;Cariocar braziliense;3.5;13.37;0.058619899
4;195;Annona cacans;6;10.82;0.040811775
4;196;Pouteria ramiflora;4;10.82;0.036137178
4;197;Qualya parvifora;2;10.19;0.025301695
4;198;Pouteria ramiflora;4;9.55;0.026529815
4;199;Qualya parvifora;5;8.91;0.023891285
4;200;Qualya parvifora;5;8.91;0.023891285
4;201;Bowdichia virgilioides;5;8.91;0.023891285
4;202;Annona cacans;3;8.91;0.020496514
4;203;Qualya parvifora;2;8.59;0.016577913
4;204;Qualya parvifora;3;8.59;0.018722382
4;205;Maprounea guianensis;4;7.96;0.016902952
4;206;Andira cujabensis;3.5;7.96;0.016239165
4;207;Magonia pubescens;3.5;7.96;0.016239165
4;208;Cariocar braziliense;4;7.32;0.013735895
4;209;Pouteria ramiflora;3.5;7.32;0.01319648
4;210;Hymenaea stilbocarpa;3;6.68;0.010046569
4;211;Qualya parvifora;2;6.37;0.007908677
4;212;Hymenaea stilbocarpa;4;5.73;0.007491927
4;213;Pouteria ramiflora;2.5;5.73;0.006506585
4;214;Qualya parvifora;2.5;5.41;0.005643861
4;215;Qualya parvifora;3;5.73;0.006872412
4;216;Qualya parvifora;2;5.73;0.006085243
4;217;Qualya parvifora;2;6.05;0.006961402
4;218;Qualya parvifora;2.5;5.09;0.004853241
4;219;Qualya parvifora;4;5.14;0.00572507
4;220;Qualya parvifora;2;5.41;0.005278386
4;221;Qualya parvifora;2;5.73;0.006085243
4;222;Stenocalyx dysentericus;2.5;5.41;0.005643861
4;223;Stenocalyx dysentericus;3;5.41;0.005961183
4;224;Qualya parvifora;2;5.73;0.006085243
5;225;Cariocar braziliense;8.5;24.83;0.354103098
5;226;Stenocalyx dysentericus;7;12.73;0.063918932
5;227;Cariocar braziliense;8;35.65;0.851248691
5;228;Pterodon emarginatus;8;27.37;0.442517655
5;229;Cariocar braziliense;11;25.15;0.394902688
5;230;Cariocar braziliense;5;20.69;0.192267821
5;231;Cariocar braziliense;7;18.78;0.167349828
5;232;Astronium balansae;7;17.51;0.140719081
5;233;Cariocar braziliense;6;16.55;0.116856302
5;234;Astronium balansae;5;16.55;0.110635888
5;235;Astronium balansae;4.5;16.55;0.107193332
5;236;Pouteria ramiflora;4;14.32;0.072316333
5;237;Pouteria ramiflora;4.5;14.01;0.070966912
5;238;Solanum lycocarpum;2;13.37;0.049559658
5;239;Andira inermis;5;11.78;0.047688352
5;240;Pouteria ramiflora;4;11.78;0.044600238
5;241;Pouteria ramiflora;6;9.87;0.032508451
5;242;Lafoensia pacari;4;9.87;0.02878492
5;243;Qualya parvifora;3;9.87;0.026404664
5;244;Stenocalyx dysentericus;4;9.23;0.024383483
5;245;Cecropia pachystachya;4;8.91;0.022344177
5;246;Cariocar braziliense;5;8.28;0.019925441
5;247;Hymenaea stilbocarpa;6;8.28;0.021045733
5;248;Cariocar braziliense;4;7.96;0.016902952
5;249;Pouteria ramiflora;4;7.64;0.01527051
5;250;Qualya parvifora;3;7.64;0.014007776
5;251;Solanum lycocarpum;3;7.32;0.012600059
5;252;Hymenaea stilbocarpa;5;7.32;0.014686966
5;253;Stenocalyx dysentericus;2.5;7.32;0.011929342
5;254;Astronium balansae;3;7;0.011280273
5;255;Hymenaea stilbocarpa;5;6.68;0.01171055
5;256;Qualya parvifora;2;6.68;0.008895831
5;257;Andira cujabensis;2.2;5.73;0.006261763
5;258;Magonia pubescens;2.5;5.73;0.006506585
5;259;Qualya parvifora;2.5;5.73;0.006506585
6;260;Qualya parvifora;2;10.19;0.025301695
6;261;Stenocalyx dysentericus;2;10.5;0.027249958
6;262;Stenocalyx dysentericus;2;9.23;0.019805241
6;263;Sclerolobium paniculatum;2.5;14.96;0.069983909
6;264;Stenocalyx dysentericus;2;8.59;0.016577913
6;265;Spondias tuberosa;4;21.96;0.208387596
6;266;Sclerolobium paniculatum;7;27.69;0.437549723
6;267;Cariocar braziliense;2;9.55;0.021548577
6;268;Solanum lycocarpum;2.5;11.14;0.033732291
6;269;Cariocar braziliense;4;24.83;0.282432613
6;270;Stenocalyx dysentericus;2;10.19;0.025301695
6;271;Sclerolobium paniculatum;4;20.69;0.179817298
6;272;Stenocalyx dysentericus;2;10.82;0.029352062
6;273;Stenocalyx dysentericus;2.5;13.37;0.052991162
6;274;Sclerolobium paniculatum;3.5;21.65;0.193281136
6;275;Stenocalyx dysentericus;2;11.78;0.036226098
6;276;Stenocalyx dysentericus;3;13.05;0.052712942
6;277;Dipteryx alata;2;23;0.189800999
6;278;Cariocar braziliense;2;24;0.210887258
6;279;Dipteryx alata;2.5;14.64;0.066336708
6;280;Palicourea rigida;2;10.82;0.029352062
6;281;Palicourea rigida;2;11.46;0.033838834
6;282;Alibertia edulis;2;9.87;0.023380264
6;283;Dipteryx alata;2;12;0.037923892
6;284;Stenocalyx dysentericus;2.5;9.23;0.021176553
6;285;Cariocar braziliense;3;15.92;0.086221509
6;286;Stenocalyx dysentericus;2;12.1;0.03871098
6;287;Cariocar braziliense;3;17.83;0.114135443
6;288;Cariocar braziliense;2;12.1;0.03871098
6;289;Cariocar braziliense;3.5;26;0.304097954
6;290;Qualya parvifora;2.5;5.73;0.006506585
6;291;Qualya parvifora;2.2;5.73;0.006261763
